,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_min_child_samples,param_n_estimators,param_num_leaves,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
182,28.38249844312668,5.45690269835268,0.020456671714782715,0.0010625651465339379,0.05,8,5,900,15,1.0,"{'learning_rate': 0.05, 'max_depth': 8, 'min_child_samples': 5, 'n_estimators': 900, 'num_leaves': 15, 'subsample': 1.0}",0.9865989201341998,0.9922425604822165,0.9964714114603177,0.992942805346933,0.9920639243559167,0.0035389460429919597,250
183,58.75138992071152,1.3984862629086898,0.027023732662200928,0.0071012003442269675,0.05,8,5,900,31,0.7,"{'learning_rate': 0.05, 'max_depth': 8, 'min_child_samples': 5, 'n_estimators': 900, 'num_leaves': 31, 'subsample': 0.7}",0.9873048273886262,0.9922425604822165,0.9957656832081598,0.9915313664163197,0.9917111093738306,0.003007059931334223,331
184,44.55626595020294,8.273883697534547,0.023982584476470947,0.0011306201104536488,0.05,8,5,900,31,0.85,"{'learning_rate': 0.05, 'max_depth': 8, 'min_child_samples': 5, 'n_estimators': 900, 'num_leaves': 31, 'subsample': 0.85}",0.9873048273886262,0.9922425604822165,0.9957656832081598,0.9915313664163197,0.9917111093738306,0.003007059931334223,331
185,37.54871791601181,0.8351607520704095,0.025410234928131104,0.0004251646189750071,0.05,8,5,900,31,1.0,"{'learning_rate': 0.05, 'max_depth': 8, 'min_child_samples': 5, 'n_estimators': 900, 'num_leaves': 31, 'subsample': 1.0}",0.9873048273886262,0.9922425604822165,0.9957656832081598,0.9915313664163197,0.9917111093738306,0.003007059931334223,331
186,47.13664925098419,8.363827041160306,0.02894723415374756,0.0036221150992431094,0.05,8,5,900,45,0.7,"{'learning_rate': 0.05, 'max_depth': 8, 'min_child_samples': 5, 'n_estimators': 900, 'num_leaves': 45, 'subsample': 0.7}",0.9866003064691244,0.9922425604822165,0.9943542667718518,0.9915313664163197,0.9911821250348781,0.002841744070523344,418
187,59.533683240413666,3.996506429199241,0.023809611797332764,0.0006441303037174343,0.05,8,5,900,45,0.85,"{'learning_rate': 0.05, 'max_depth': 8, 'min_child_samples': 5, 'n_estimators': 900, 'num_leaves': 45, 'subsample': 0.85}",0.9866003064691244,0.9922425604822165,0.9943542667718518,0.9915313664163197,0.9911821250348781,0.002841744070523344,418
188,61.30289089679718,2.2939078779353226,0.02510368824005127,0.003763312148372561,0.05,8,5,900,45,1.0,"{'learning_rate': 0.05, 'max_depth': 8, 'min_child_samples': 5, 'n_estimators': 900, 'num_leaves': 45, 'subsample': 1.0}",0.9866003064691244,0.9922425604822165,0.9943542667718518,0.9915313664163197,0.9911821250348781,0.002841744070523344,418
189,28.700883328914642,0.13569427998270206,0.01624959707260132,0.00043157040536732525,0.05,8,10,600,15,0.7,"{'learning_rate': 0.05, 'max_depth': 8, 'min_child_samples': 10, 'n_estimators': 600, 'num_leaves': 15, 'subsample': 0.7}",0.9844821033823403,0.9922425604822165,0.998588566692963,0.9915314001577777,0.9917111576788243,0.004996816048122444,325
190,28.061515510082245,0.28883359270304215,0.014929711818695068,0.0007191223372557991,0.05,8,10,600,15,0.85,"{'learning_rate': 0.05, 'max_depth': 8, 'min_child_samples': 10, 'n_estimators': 600, 'num_leaves': 15, 'subsample': 0.85}",0.9844821033823403,0.9922425604822165,0.998588566692963,0.9915314001577777,0.9917111576788243,0.004996816048122444,325
191,24.857687413692474,2.4207763594599987,0.016714811325073242,0.0007381290195868333,0.05,8,10,600,15,1.0,"{'learning_rate': 0.05, 'max_depth': 8, 'min_child_samples': 10, 'n_estimators': 600, 'num_leaves': 15, 'subsample': 1.0}",0.9844821033823403,0.9922425604822165,0.998588566692963,0.9915314001577777,0.9917111576788243,0.004996816048122444,325
192,41.45413237810135,1.9888407931493006,0.021041512489318848,0.0040904576047859085,0.05,8,10,600,31,0.7,"{'learning_rate': 0.05, 'max_depth': 8, 'min_child_samples': 10, 'n_estimators': 600, 'num_leaves': 31, 'subsample': 0.7}",0.9887154021232234,0.9922425604822165,0.997177133385926,0.992942805346933,0.9927694753345747,0.0030071016633736207,49
193,41.69467234611511,2.18473521672778,0.02552729845046997,0.003611272894474991,0.05,8,10,600,31,0.85,"{'learning_rate': 0.05, 'max_depth': 8, 'min_child_samples': 10, 'n_estimators': 600, 'num_leaves': 31, 'subsample': 0.85}",0.9887154021232234,0.9922425604822165,0.997177133385926,0.992942805346933,0.9927694753345747,0.0030071016633736207,49
194,40.072362422943115,1.1885022409311456,0.025286316871643066,0.004450616977247104,0.05,8,10,600,31,1.0,"{'learning_rate': 0.05, 'max_depth': 8, 'min_child_samples': 10, 'n_estimators': 600, 'num_leaves': 31, 'subsample': 1.0}",0.9887154021232234,0.9922425604822165,0.997177133385926,0.992942805346933,0.9927694753345747,0.0030071016633736207,49
195,60.64299088716507,10.35694724966422,0.018990159034729004,0.0013054403339656637,0.05,8,10,600,45,0.7,"{'learning_rate': 0.05, 'max_depth': 8, 'min_child_samples': 10, 'n_estimators': 600, 'num_leaves': 45, 'subsample': 0.7}",0.988009941810466,0.9915373597517307,0.9964713903718013,0.992942805346933,0.9922403743202327,0.0030325605879817064,175
196,63.77492314577103,9.598595053995018,0.0189284086227417,0.001111861746112281,0.05,8,10,600,45,0.85,"{'learning_rate': 0.05, 'max_depth': 8, 'min_child_samples': 10, 'n_estimators': 600, 'num_leaves': 45, 'subsample': 0.85}",0.988009941810466,0.9915373597517307,0.9964713903718013,0.992942805346933,0.9922403743202327,0.0030325605879817064,175
