,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_ccp_alpha,param_criterion,param_max_depth,param_max_features,param_max_leaf_nodes,param_max_samples,param_min_impurity_decrease,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
53,2.1599665880203247,0.07987568429201129,0.13124936819076538,0.015037604105563632,True,0.005,gini,30,sqrt,50,0.7,0.01,2,8,450,"{'bootstrap': True, 'ccp_alpha': 0.005, 'criterion': 'gini', 'max_depth': 30, 'max_features': 'sqrt', 'max_leaf_nodes': 50, 'max_samples': 0.7, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 450}",0.9329535144034724,0.9640316860165831,0.9321170505808615,0.972474377307686,0.9503941570771508,0.018109023715750277,61
54,3.416249632835388,0.0688157291547236,0.2052505612373352,0.0178949960479501,True,0.005,gini,30,sqrt,50,0.7,0.01,5,4,700,"{'bootstrap': True, 'ccp_alpha': 0.005, 'criterion': 'gini', 'max_depth': 30, 'max_features': 'sqrt', 'max_leaf_nodes': 50, 'max_samples': 0.7, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 5, 'min_samples_split': 4, 'n_estimators': 700}",0.9499274610162023,0.9668545766058343,0.9654187989491116,0.9696503295173968,0.9629627915221364,0.007678231721171862,6
55,2.5129958987236023,0.05784699876711935,0.16050153970718384,0.011587207741976852,True,0.005,gini,30,sqrt,50,0.7,0.01,5,4,500,"{'bootstrap': True, 'ccp_alpha': 0.005, 'criterion': 'gini', 'max_depth': 30, 'max_features': 'sqrt', 'max_leaf_nodes': 50, 'max_samples': 0.7, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 5, 'min_samples_split': 4, 'n_estimators': 500}",0.9520442753923035,0.9647384377884585,0.9668289548722572,0.9724715801680606,0.96402081205527,0.007470836046070565,1
56,2.152998149394989,0.031250973360802264,0.12174969911575317,0.013496944058439342,True,0.005,gini,30,sqrt,50,0.7,0.01,5,4,450,"{'bootstrap': True, 'ccp_alpha': 0.005, 'criterion': 'gini', 'max_depth': 30, 'max_features': 'sqrt', 'max_leaf_nodes': 50, 'max_samples': 0.7, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 5, 'min_samples_split': 4, 'n_estimators': 450}",0.9343908815693571,0.9626202715170686,0.9228993667837255,0.9738832940055961,0.9484484534689369,0.02060426350342895,71
57,3.4172495007514954,0.15295023449108852,0.19274967908859253,0.023920920647267405,True,0.005,gini,30,sqrt,50,0.7,0.01,5,8,700,"{'bootstrap': True, 'ccp_alpha': 0.005, 'criterion': 'gini', 'max_depth': 30, 'max_features': 'sqrt', 'max_leaf_nodes': 50, 'max_samples': 0.7, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 5, 'min_samples_split': 8, 'n_estimators': 700}",0.9379129714840702,0.9626219075191369,0.9654187989491116,0.96823510950705,0.9585471968648421,0.012077345430063542,24
58,2.598002851009369,0.12093942377135539,0.1674984097480774,0.018364625636984207,True,0.005,gini,30,sqrt,50,0.7,0.01,5,8,500,"{'bootstrap': True, 'ccp_alpha': 0.005, 'criterion': 'gini', 'max_depth': 30, 'max_features': 'sqrt', 'max_leaf_nodes': 50, 'max_samples': 0.7, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 5, 'min_samples_split': 8, 'n_estimators': 500}",0.9449890081469029,0.9647379467438553,0.9668302765430253,0.9611446559505986,0.9594254718460955,0.008579344384367079,18
59,2.2492505311965942,0.061169138899424554,0.13299989700317383,0.016837052116679657,True,0.005,gini,30,sqrt,50,0.7,0.01,5,8,450,"{'bootstrap': True, 'ccp_alpha': 0.005, 'criterion': 'gini', 'max_depth': 30, 'max_features': 'sqrt', 'max_leaf_nodes': 50, 'max_samples': 0.7, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 5, 'min_samples_split': 8, 'n_estimators': 450}",0.9492217341482048,0.9746121297602257,0.9526985384421842,0.9717672843195855,0.96207492166755,0.011227694246081856,11
60,3.4232512712478638,0.06265818475355804,0.1987491250038147,0.01876832827180923,True,0.005,gini,30,sqrt,100,0.7,0.01,2,4,700,"{'bootstrap': True, 'ccp_alpha': 0.005, 'criterion': 'gini', 'max_depth': 30, 'max_features': 'sqrt', 'max_leaf_nodes': 100, 'max_samples': 0.7, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 700}",0.9492206229048334,0.9640316860165831,0.9505762040292427,0.9717689717689718,0.9588993711799078,0.009419667649324993,23
61,2.4427520632743835,0.047310418242534964,0.14949947595596313,0.02582173299873554,True,0.005,gini,30,sqrt,100,0.7,0.01,2,4,500,"{'bootstrap': True, 'ccp_alpha': 0.005, 'criterion': 'gini', 'max_depth': 30, 'max_features': 'sqrt', 'max_leaf_nodes': 100, 'max_samples': 0.7, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 500}",0.9329721962241319,0.9654438580811946,0.9661247908199857,0.9710628069132083,0.9589009130096302,0.015126173989916702,22
62,2.179999351501465,0.020505706224543545,0.12275022268295288,0.01302712436020155,True,0.005,gini,30,sqrt,100,0.7,0.01,2,4,450,"{'bootstrap': True, 'ccp_alpha': 0.005, 'criterion': 'gini', 'max_depth': 30, 'max_features': 'sqrt', 'max_leaf_nodes': 100, 'max_samples': 0.7, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 450}",0.926592863969417,0.9654428956309002,0.9314384365555257,0.9745875179340029,0.9495154285224614,0.020823757347149658,68
63,3.2360984086990356,0.01910765938257645,0.18469613790512085,0.004059843889749962,True,0.005,gini,30,sqrt,100,0.7,0.01,2,8,700,"{'bootstrap': True, 'ccp_alpha': 0.005, 'criterion': 'gini', 'max_depth': 30, 'max_features': 'sqrt', 'max_leaf_nodes': 100, 'max_samples': 0.7, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 700}",0.9350825650089969,0.9696752223977831,0.9271717950445224,0.9717681843176946,0.9509244416922493,0.020007540224387745,57
64,2.4250001311302185,0.11311671829482689,0.13500046730041504,0.011810938044129832,True,0.005,gini,30,sqrt,100,0.7,0.01,2,8,500,"{'bootstrap': True, 'ccp_alpha': 0.005, 'criterion': 'gini', 'max_depth': 30, 'max_features': 'sqrt', 'max_leaf_nodes': 100, 'max_samples': 0.7, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 500}",0.9386203077492571,0.9654413831006863,0.9498617806401197,0.9505499874368353,0.9511183647317245,0.009529589968398939,55
65,2.0659987330436707,0.013585015837643832,0.1409999132156372,0.015215310148336802,True,0.005,gini,30,sqrt,100,0.7,0.01,2,8,450,"{'bootstrap': True, 'ccp_alpha': 0.005, 'criterion': 'gini', 'max_depth': 30, 'max_features': 'sqrt', 'max_leaf_nodes': 100, 'max_samples': 0.7, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 450}",0.9485147135989813,0.9661478227654698,0.9689472300140252,0.9717681843176946,0.9638444876740426,0.009070973950253278,2
66,3.449894607067108,0.145313814037607,0.1820002794265747,0.006363453272728429,True,0.005,gini,30,sqrt,100,0.7,0.01,5,4,700,"{'bootstrap': True, 'ccp_alpha': 0.005, 'criterion': 'gini', 'max_depth': 30, 'max_features': 'sqrt', 'max_leaf_nodes': 100, 'max_samples': 0.7, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 5, 'min_samples_split': 4, 'n_estimators': 700}",0.9527497651314294,0.9626225023934749,0.9498716734371737,0.9710628069132083,0.9590766869688216,0.00838155851261008,20
67,2.467143416404724,0.0377053224685537,0.19875550270080566,0.034709883740557806,True,0.005,gini,30,sqrt,100,0.7,0.01,5,4,500,"{'bootstrap': True, 'ccp_alpha': 0.005, 'criterion': 'gini', 'max_depth': 30, 'max_features': 'sqrt', 'max_leaf_nodes': 100, 'max_samples': 0.7, 'min_impurity_decrease': 0.01, 'min_samples_leaf': 5, 'min_samples_split': 4, 'n_estimators': 500}",0.9343833078825712,0.966149439006923,0.9300247960721345,0.9724691664927194,0.950756677363587,0.018750116167880044,58
