,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,param_reg_alpha,param_reg_lambda,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
20,5.800729334354401,0.44002946638350027,0.04489344358444214,0.003934976021927606,0.05,4,900,0.1,1.5,0.7,"{'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 900, 'reg_alpha': 0.1, 'reg_lambda': 1.5, 'subsample': 0.7}",0.9866005197259626,0.9957686798758654,0.9971771221387733,0.9901195731862809,0.9924164737317205,0.004272064266872307,16
21,4.3837363719940186,0.409874416148352,0.06163978576660156,0.04349319221793476,0.05,4,900,0.1,1.5,1.0,"{'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 900, 'reg_alpha': 0.1, 'reg_lambda': 1.5, 'subsample': 1.0}",0.9858951786975421,0.9936530292834966,0.9950599858856739,0.9894139180456464,0.9910055279780898,0.0036089050982517365,130
22,5.16256844997406,0.22195132585565575,0.045510947704315186,0.006456649181788981,0.05,4,900,0.1,2.0,0.7,"{'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 900, 'reg_alpha': 0.1, 'reg_lambda': 2.0, 'subsample': 0.7}",0.9858951786975421,0.9957686798758654,0.9964714114603177,0.9908253956395601,0.9922401664183214,0.004260700862497997,28
23,4.640957772731781,0.11185245003110135,0.039012014865875244,0.005208025225121163,0.05,4,900,0.1,2.0,1.0,"{'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 900, 'reg_alpha': 0.1, 'reg_lambda': 2.0, 'subsample': 1.0}",0.9866005197259626,0.9936530292834966,0.9957656832081598,0.9901195731862809,0.991534701350975,0.003490603699098801,109
24,5.585837483406067,0.2008182850084651,0.03925055265426636,0.0030298838142546903,0.05,4,900,0.5,1.0,0.7,"{'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 900, 'reg_alpha': 0.5, 'reg_lambda': 1.0, 'subsample': 0.7}",0.9866005197259626,0.9957686798758654,0.9957656832081598,0.9901195731862809,0.9920636139990671,0.003906965680004525,55
25,4.360013842582703,0.29226533845140773,0.031001925468444824,0.0025505646990889148,0.05,4,900,0.5,1.0,1.0,"{'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 900, 'reg_alpha': 0.5, 'reg_lambda': 1.0, 'subsample': 1.0}",0.9866005197259626,0.9929478138222849,0.9964714114603177,0.9901195731862809,0.9915348295487114,0.0036303143639924533,105
26,5.401197195053101,0.4647694616406673,0.044133126735687256,0.0028373900824146224,0.05,4,900,0.5,1.5,0.7,"{'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 900, 'reg_alpha': 0.5, 'reg_lambda': 1.5, 'subsample': 0.7}",0.9866005197259626,0.9957686798758654,0.997177133385926,0.9908253956395601,0.9925929321568285,0.004187286309929728,9
27,5.055432915687561,0.25774397686578365,0.03739041090011597,0.0026049656742637493,0.05,4,900,0.5,1.5,1.0,"{'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 900, 'reg_alpha': 0.5, 'reg_lambda': 1.5, 'subsample': 1.0}",0.987305837603845,0.9936530292834966,0.9957656832081598,0.9901195731862809,0.9917110308204455,0.0032461526724960926,92
28,5.717039406299591,0.5283946728584924,0.049011409282684326,0.004813350158468148,0.05,4,900,0.5,2.0,0.7,"{'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 900, 'reg_alpha': 0.5, 'reg_lambda': 2.0, 'subsample': 0.7}",0.9866005197259626,0.9957686798758654,0.997177133385926,0.9908253956395601,0.9925929321568285,0.004187286309929728,9
29,5.1835309863090515,0.48903618227305523,0.04213148355484009,0.0034731157521087452,0.05,4,900,0.5,2.0,1.0,"{'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 900, 'reg_alpha': 0.5, 'reg_lambda': 2.0, 'subsample': 1.0}",0.987305837603845,0.9929478138222849,0.9950599760444447,0.9908253956395601,0.9915347557775338,0.002864037870436449,108
30,5.599873304367065,0.36654637726595013,0.0518832802772522,0.009131726861166941,0.05,4,900,1.0,1.0,0.7,"{'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 900, 'reg_alpha': 1.0, 'reg_lambda': 1.0, 'subsample': 0.7}",0.987305837603845,0.9950634475795923,0.997177133385926,0.9901197306558291,0.9924165373062981,0.003907172291649379,15
31,3.8353158831596375,0.3865604480682627,0.027501821517944336,0.010115532736361408,0.05,4,900,1.0,1.0,1.0,"{'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 900, 'reg_alpha': 1.0, 'reg_lambda': 1.0, 'subsample': 1.0}",0.9873059638694429,0.9929478138222849,0.9957657000788889,0.988002225333439,0.9910054257760139,0.003504936306745121,131
32,5.511007785797119,0.2525316960554154,0.04212850332260132,0.006112449807050126,0.05,4,900,1.0,1.5,0.7,"{'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 900, 'reg_alpha': 1.0, 'reg_lambda': 1.5, 'subsample': 0.7}",0.9866005197259626,0.9943582398344872,0.997177133385926,0.9901197306558291,0.9920639059005513,0.004032290583293748,44
33,3.495226800441742,0.12783474076338266,0.024750173091888428,0.005117190777767312,0.05,4,900,1.0,1.5,1.0,"{'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 900, 'reg_alpha': 1.0, 'reg_lambda': 1.5, 'subsample': 1.0}",0.9844849126269217,0.9929478138222849,0.9964714114603177,0.9872963410115112,0.9903001197302589,0.004688668410869613,141
34,5.609685063362122,0.45854232572620324,0.04588139057159424,0.011866840530143854,0.05,4,900,1.0,2.0,0.7,"{'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 900, 'reg_alpha': 1.0, 'reg_lambda': 2.0, 'subsample': 0.7}",0.9866005197259626,0.9943582398344872,0.997177133385926,0.9894139180456464,0.9918874527480056,0.004127818575872054,77
35,3.7668768763542175,0.11896133042335282,0.025883793830871582,0.002414386507408792,0.05,4,900,1.0,2.0,1.0,"{'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 900, 'reg_alpha': 1.0, 'reg_lambda': 2.0, 'subsample': 1.0}",0.9844849126269217,0.9936530292834966,0.9943542667718518,0.9872963410115112,0.9899471374234453,0.004183869169717794,143
36,5.715315461158752,0.6026002147154705,0.049629926681518555,0.008239607792911679,0.05,8,750,0.1,1.0,0.7,"{'learning_rate': 0.05, 'max_depth': 8, 'n_estimators': 750, 'reg_alpha': 0.1, 'reg_lambda': 1.0, 'subsample': 0.7}",0.9880111344363328,0.9922425604822165,0.9964713903718013,0.9908253956395601,0.9918876202324776,0.0030533749558706185,63
37,5.456377744674683,0.6306079509599892,0.0832662582397461,0.019834009104130156,0.05,8,750,0.1,1.0,1.0,"{'learning_rate': 0.05, 'max_depth': 8, 'n_estimators': 750, 'reg_alpha': 0.1, 'reg_lambda': 1.0, 'subsample': 1.0}",0.9887164123283938,0.9929477997931089,0.9950599858856739,0.9915311977049964,0.9920638489280433,0.002304737236368632,47
38,5.826100587844849,0.9035840643529987,0.04251152276992798,0.0019752959665137355,0.05,8,750,0.1,1.5,0.7,"{'learning_rate': 0.05, 'max_depth': 8, 'n_estimators': 750, 'reg_alpha': 0.1, 'reg_lambda': 1.5, 'subsample': 0.7}",0.987305837603845,0.9929477997931089,0.9964713903718013,0.9908253956395601,0.9918876058520789,0.003326258503632377,67
39,5.160320460796356,0.1869973846218611,0.04413914680480957,0.004579582592401156,0.05,8,750,0.1,1.5,1.0,"{'learning_rate': 0.05, 'max_depth': 8, 'n_estimators': 750, 'reg_alpha': 0.1, 'reg_lambda': 1.5, 'subsample': 1.0}",0.9887164123283938,0.9922425913464957,0.9957657000788889,0.9915310627310978,0.9920639416212191,0.002511217019750157,40
40,6.0411476492881775,0.5040957033824077,0.055760741233825684,0.014617563172854136,0.05,8,750,0.1,2.0,0.7,"{'learning_rate': 0.05, 'max_depth': 8, 'n_estimators': 750, 'reg_alpha': 0.1, 'reg_lambda': 2.0, 'subsample': 0.7}",0.987305837603845,0.9936530040309044,0.9964713903718013,0.9901195731862809,0.9918874512982079,0.003472976063312003,78
41,6.233831822872162,1.0957049535336667,0.07576936483383179,0.035046015939582315,0.05,8,750,0.1,2.0,1.0,"{'learning_rate': 0.05, 'max_depth': 8, 'n_estimators': 750, 'reg_alpha': 0.1, 'reg_lambda': 2.0, 'subsample': 1.0}",0.9887164123283938,0.9929477997931089,0.9964714184897671,0.9915311977049964,0.9924167070790666,0.0027928055870574,12
42,7.005480349063873,1.1869717267611655,0.11341595649719238,0.007468498525583421,0.05,8,750,0.5,1.0,0.7,"{'learning_rate': 0.05, 'max_depth': 8, 'n_estimators': 750, 'reg_alpha': 0.5, 'reg_lambda': 1.0, 'subsample': 0.7}",0.987305837603845,0.9936530040309044,0.9964713903718013,0.9908253956395601,0.9920639069115278,0.0033957426954533605,43
43,5.756665050983429,1.045445573381356,0.07935374975204468,0.03255799422781359,0.05,8,750,0.5,1.0,1.0,"{'learning_rate': 0.05, 'max_depth': 8, 'n_estimators': 750, 'reg_alpha': 0.5, 'reg_lambda': 1.0, 'subsample': 1.0}",0.9887164123283938,0.9922425913464957,0.9950599760444447,0.9915311977049964,0.9918875443560827,0.002256847494598365,70
44,8.46529996395111,0.6225319501074125,0.11439496278762817,0.008395120249602405,0.05,8,750,0.5,1.5,0.7,"{'learning_rate': 0.05, 'max_depth': 8, 'n_estimators': 750, 'reg_alpha': 0.5, 'reg_lambda': 1.5, 'subsample': 0.7}",0.987305837603845,0.9943582061641969,0.9971771221387733,0.9901195731862809,0.992240184773274,0.003798162077064748,26
45,9.329453110694885,0.8088030725080166,0.0913923978805542,0.006988005192020829,0.05,8,750,0.5,1.5,1.0,"{'learning_rate': 0.05, 'max_depth': 8, 'n_estimators': 750, 'reg_alpha': 0.5, 'reg_lambda': 1.5, 'subsample': 1.0}",0.9887164123283938,0.9922425913464957,0.9950599858856739,0.9908253956395601,0.9917110963000308,0.0023048940426396735,88
46,11.476417005062103,0.6365756019298512,0.13594120740890503,0.03925092427153465,0.05,8,750,0.5,2.0,0.7,"{'learning_rate': 0.05, 'max_depth': 8, 'n_estimators': 750, 'reg_alpha': 0.5, 'reg_lambda': 2.0, 'subsample': 0.7}",0.987305837603845,0.9936529535251174,0.9964714114603177,0.9908253956395601,0.9920638995572102,0.0033957436297169007,46
47,11.403459966182709,0.7257523886190546,0.11349684000015259,0.010943006411571124,0.05,8,750,0.5,2.0,1.0,"{'learning_rate': 0.05, 'max_depth': 8, 'n_estimators': 750, 'reg_alpha': 0.5, 'reg_lambda': 2.0, 'subsample': 1.0}",0.9887164123283938,0.9915373765867419,0.9957657000788889,0.9908253956395601,0.9917112211583963,0.00256039977493236,85
48,11.430216491222382,0.1877036513691673,0.0661541223526001,0.037885303354100196,0.05,8,750,1.0,1.0,0.7,"{'learning_rate': 0.05, 'max_depth': 8, 'n_estimators': 750, 'reg_alpha': 1.0, 'reg_lambda': 1.0, 'subsample': 0.7}",0.9880111344363328,0.9936529535251174,0.9964714114603177,0.9901197306558291,0.9920638075193993,0.0032463807346478015,49
49,7.300264239311218,0.5039244044253305,0.09138566255569458,0.025062088084606957,0.05,8,750,1.0,1.0,1.0,"{'learning_rate': 0.05, 'max_depth': 8, 'n_estimators': 750, 'reg_alpha': 1.0, 'reg_lambda': 1.0, 'subsample': 1.0}",0.9887164796689742,0.9922425604822165,0.9943542667718518,0.9901197306558291,0.9913582593947179,0.002137229642176728,121
50,8.915368020534515,0.4095481869789297,0.04401266574859619,0.004828775123443347,0.05,8,750,1.0,1.5,0.7,"{'learning_rate': 0.05, 'max_depth': 8, 'n_estimators': 750, 'reg_alpha': 1.0, 'reg_lambda': 1.5, 'subsample': 0.7}",0.9873059638694429,0.9936529535251174,0.9964714114603177,0.9894139180456464,0.9917110617251311,0.0035746898315284093,90
51,5.971701800823212,0.42516901000687174,0.030759215354919434,0.006562049393723909,0.05,8,750,1.0,1.5,1.0,"{'learning_rate': 0.05, 'max_depth': 8, 'n_estimators': 750, 'reg_alpha': 1.0, 'reg_lambda': 1.5, 'subsample': 1.0}",0.9887164796689742,0.9929477997931089,0.9943542667718518,0.9901197306558291,0.991534569222441,0.00222998384618332,111
52,6.742145478725433,0.6510687094813062,0.04238206148147583,0.0022156825446716325,0.05,8,750,1.0,2.0,0.7,"{'learning_rate': 0.05, 'max_depth': 8, 'n_estimators': 750, 'reg_alpha': 1.0, 'reg_lambda': 2.0, 'subsample': 0.7}",0.9880111344363328,0.9936529535251174,0.9964714114603177,0.9901197306558291,0.9920638075193993,0.0032463807346478015,49
53,4.384696543216705,0.4745215114053917,0.030749976634979248,0.005215205974473621,0.05,8,750,1.0,2.0,1.0,"{'learning_rate': 0.05, 'max_depth': 8, 'n_estimators': 750, 'reg_alpha': 1.0, 'reg_lambda': 2.0, 'subsample': 1.0}",0.9894216733848407,0.9929477997931089,0.9950599760444447,0.9901197306558291,0.9918872949695559,0.0022579940813646383,82
54,5.5253759026527405,0.2709871125227292,0.05413031578063965,0.008038286861883464,0.05,8,900,0.1,1.0,0.7,"{'learning_rate': 0.05, 'max_depth': 8, 'n_estimators': 900, 'reg_alpha': 0.1, 'reg_lambda': 1.0, 'subsample': 0.7}",0.9880111344363328,0.9922425604822165,0.9971771221387733,0.9908253956395601,0.9920640531742206,0.0033217375678766805,35
